movie_title,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,facenumber_in_poster,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,num_voted_users
Avataræ,178,0,855,1000,0,237000000,2009,936,7.9,1.78,33000,886204
Pirates of the Caribbean: At World's Endæ,169,563,1000,40000,0,300000000,2007,5000,7.1,2.35,0,471220
Spectreæ,148,0,161,11000,1,245000000,2015,393,6.8,2.35,85000,275868
The Dark Knight Risesæ,164,22000,23000,27000,0,250000000,2012,23000,8.5,2.35,164000,1144337
Star Wars: Episode VII - The Force Awakensæ            ,,131,,131,0,,,12,7.1,,0,8
John Carteræ,132,475,530,640,1,263700000,2012,632,6.6,2.35,24000,212204
Spider-Man 3æ,156,0,4000,24000,0,258000000,2007,11000,6.2,2.35,0,383056
Tangledæ,100,15,284,799,1,260000000,2010,553,7.8,1.85,29000,294810
Avengers: Age of Ultronæ,141,0,19000,26000,4,250000000,2015,21000,7.5,2.35,118000,462669
Harry Potter and the Half-Blood Princeæ,153,282,10000,25000,3,250000000,2009,11000,7.5,2.35,10000,321795
Batman v Superman: Dawn of Justiceæ,183,0,2000,15000,0,250000000,2016,4000,6.9,2.35,197000,371639
Superman Returnsæ,169,0,903,18000,0,209000000,2006,10000,6.1,2.35,0,240396
Quantum of Solaceæ,106,395,393,451,1,200000000,2008,412,6.7,2.35,0,330784
Pirates of the Caribbean: Dead Man's Chestæ,151,563,1000,40000,2,225000000,2006,5000,7.3,2.35,5000,522040
The Lone Rangeræ,150,563,1000,40000,1,215000000,2013,2000,6.5,2.35,48000,181792
Man of Steelæ,143,0,748,15000,0,225000000,2013,3000,7.2,2.35,118000,548573
The Chronicles of Narnia: Prince Caspianæ,150,80,201,22000,4,225000000,2008,216,6.6,2.35,0,149922
The Avengersæ,173,0,19000,26000,3,220000000,2012,21000,8.1,1.85,123000,995415
Pirates of the Caribbean: On Stranger Tidesæ,136,252,1000,40000,4,250000000,2011,11000,6.7,2.35,58000,370704
Men in Black 3æ,106,188,718,10000,1,225000000,2012,816,6.8,1.85,40000,268154
The Hobbit: The Battle of the Five Armiesæ,164,0,773,5000,0,250000000,2014,972,7.5,2.35,65000,354228
The Amazing Spider-Manæ,153,464,963,15000,0,230000000,2012,10000,7,2.35,56000,451803
Robin Hoodæ,156,0,738,891,0,200000000,2010,882,6.7,2.35,17000,211765
The Hobbit: The Desolation of Smaugæ,186,0,773,5000,6,225000000,2013,972,7.9,2.35,83000,483540
The Golden Compassæ,113,129,1000,16000,2,180000000,2007,6000,6.1,2.35,0,149019
King Kongæ,201,0,84,6000,0,207000000,2005,919,7.2,2.35,0,316018
Titanicæ,194,0,794,29000,0,200000000,1997,14000,7.7,2.35,26000,793059
Captain America: Civil Waræ,147,94,11000,21000,0,250000000,2016,19000,8.2,2.35,72000,272670
Battleshipæ,131,532,627,14000,0,209000000,2012,10000,5.9,2.35,44000,202382
