Item,Total Fat,Sugars
1% Low Fat Milk Jug,2.5,12
Apple Slices,0,3
Bacon Buffalo Ranch McChicken,21,6
Bacon Cheddar McChicken,24,6
Bacon Clubhouse Burger,40,14
Bacon Clubhouse Crispy Chicken Sandwich,38,16
Bacon Clubhouse Grilled Chicken Sandwich,25,14
Bacon McDouble,22,7
"Bacon, Egg & Cheese Bagel",31,7
"Bacon, Egg & Cheese Bagel with Egg Whites",25,8
"Bacon, Egg & Cheese Biscuit (Large Biscuit)",30,4
"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",26,3
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",25,4
"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",20,3
"Bacon, Egg & Cheese McGriddles",21,15
"Bacon, Egg & Cheese McGriddles with Egg Whites",15,16
Baked Apple Pie,13,13
Big Breakfast (Large Biscuit),52,3
Big Breakfast (Regular Biscuit),48,3
Big Breakfast with Egg Whites (Large Biscuit),41,4
Big Breakfast with Egg Whites (Regular Biscuit),37,3
Big Breakfast with Hotcakes (Large Biscuit),60,17
Big Breakfast with Hotcakes (Regular Biscuit),56,17
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),50,18
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),46,17
Big Mac,27,9
Blueberry Pomegranate Smoothie (Large),1,70
Blueberry Pomegranate Smoothie (Medium),1,54
Blueberry Pomegranate Smoothie (Small),0.5,44
Buffalo Ranch McChicken,16,5
Caramel Iced Coffee (Large),9,42
Caramel Iced Coffee (Medium),7,28
Caramel Iced Coffee (Small),4.5,21
Caramel Latte (Large),14,59
Caramel Latte (Medium),10,48
Caramel Latte (Small),9,38
Caramel Mocha (Large),17,60
Caramel Mocha (Medium),14,50
Caramel Mocha (Small),11,40
Cheeseburger,11,7
Chicken McNuggets (10 piece),30,0
Chicken McNuggets (20 piece),59,0
Chicken McNuggets (4 piece),12,0
Chicken McNuggets (6 piece),18,0
Chipotle BBQ Snack Wrap (Crispy Chicken),15,8
Chipotle BBQ Snack Wrap (Grilled Chicken),8,7
Chocolate Chip Cookie,8,15
Chocolate Shake (Large),23,120
Chocolate Shake (Medium),20,97
Chocolate Shake (Small),16,77
Cinnamon Melts,19,32
Coca-Cola Classic (Child),0,28
Coca-Cola Classic (Large),0,76
Coca-Cola Classic (Medium),0,55
Coca-Cola Classic (Small),0,39
Coffee (Large),0,0
Coffee (Medium),0,0
Coffee (Small),0,0
Daily Double,22,7
Dasani Water Bottle,0,0
Diet Coke (Child),0,0
Diet Coke (Large),0,0
Diet Coke (Medium),0,0
Diet Coke (Small),0,0
Diet Dr Pepper (Child),0,0
Diet Dr Pepper (Large),0,0
Diet Dr Pepper (Medium),0,0
Diet Dr Pepper (Small),0,0
Double Cheeseburger,21,7
Double Quarter Pounder with Cheese,43,10
Dr Pepper (Child),0,26
Dr Pepper (Large),0,70
Dr Pepper (Medium),0,51
Dr Pepper (Small),0,35
Egg McMuffin,13,3
Egg White Delight,8,3
Fat Free Chocolate Milk Jug,0,22
Filet-O-Fish,19,5
Frapp_ Caramel (Large),27,88
Frapp_ Caramel (Medium),23,71
Frapp_ Caramel (Small),19,57
Frapp_ Chocolate Chip (Large),31,99
Frapp_ Chocolate Chip (Medium),26,81
Frapp_ Chocolate Chip (Small),23,67
Frapp_ Mocha (Large),26,88
Frapp_ Mocha (Medium),22,71
